Code,Prefix,Continent
TPE,886,AS
AFG,93,AS
ALB,355,EU
ALG,213,AF
ASA,1-684,OC
AND,376,EU
ANG,244,AF
AIA,1-264,NA
ROS,672,AN
ATG,1-268,NA
ARG,54,SA
ARM,374,AS
ARU,297,NA
AUS,61,OC
AUT,43,EU
AZE,994,AS
BAH,1-242,NA
BHR,973,AS
BAN,880,AS
BRB,1-246,NA
BLR,375,EU
BEL,32,EU
BLZ,501,NA
BEN,229,AF
BER,1-441,NA
BHU,975,AS
BOL,591,SA
ANT,599,NA
BIH,387,EU
BOT,267,AF
,47,AN
BRA,55,SA
,246,AS
VGB,1-284,NA
BRU,673,AS
BUL,359,EU
BFA,226,AF
BDI,257,AF
CPV,238,AF
CAM,855,AS
CMR,237,AF
CAN,1,NA
CAY,1-345,NA
CTA,236,AF
CHA,235,AF
CHI,56,SA
CHN,86,AS
HKG,852,AS
MAC,853,AS
CXR,61,OC
CCK,61,AS
COL,57,SA
COM,269,AF
CGO,242,AF
COK,682,OC
CRC,506,NA
CRO,385,EU
CUB,53,NA
,599,NA
CYP,357,EU
CZE,420,EU
CIV,225,AF
PRK,850,AS
COD,243,AF
DEN,45,EU
DJI,253,AF
DMA,1-767,NA
DOM,1-809,NA
ECU,593,SA
EGY,20,AF
SLV,503,NA
EQG,240,AF
ERI,291,AF
EST,372,EU
SWZ,268,AF
ETH,251,AF
FLK,500,SA
FRO,298,EU
FIJ,679,OC
FIN,358,EU
FRA,33,EU
GUF,594,SA
TAH,689,OC
,262,AN
GAB,241,AF
GAM,220,AF
GEO,995,AS
GER,49,EU
GHA,233,AF
GBZ,350,EU
GRE,30,EU
GRL,299,NA
GRN,1-473,NA
GLP,590,NA
GUM,1-671,OC
GUA,502,NA
GBG,44,EU
GUI,224,AF
GNB,245,AF
GUY,592,SA
HAI,509,NA
,672,AN
VAT,39-06,EU
HON,504,NA
HUN,36,EU
ISL,354,EU
IND,91,AS
IDN,62,AS
IRN,98,AS
IRQ,964,AS
IRL,353,EU
GBM,44,EU
ISR,972,AS
ITA,39,EU
JAM,1-876,NA
JPN,81,AS
GBJ,44,EU
JOR,962,AS
KAZ,7,AS
KEN,254,AF
KIR,686,OC
KUW,965,AS
KGZ,996,AS
LAO,856,AS
LVA,371,EU
LIB,961,AS
LES,266,AF
LBR,231,AF
LBY,218,AF
LIE,423,EU
LTU,370,EU
LUX,352,EU
MAD,261,AF
MWI,265,AF
MAS,60,AS
MDV,960,AS
MLI,223,AF
MLT,356,EU
MHL,692,OC
MTQ,596,NA
MTN,222,AF
MRI,230,AF
MYT,262,AF
MEX,52,NA
FSM,691,OC
MON,377,EU
MNG,976,AS
MNE,382,EU
MSR,1-664,NA
MAR,212,AF
MOZ,258,AF
MYA,95,AS
NAM,264,AF
NRU,674,OC
NEP,977,AS
NED,31,EU
NCL,687,OC
NZL,64,OC
NCA,505,NA
NIG,227,AF
NGA,234,AF
NIU,683,OC
NFK,672,OC
NMI,1-670,OC
NOR,47,EU
OMA,968,AS
PAK,92,AS
PLW,680,OC
PAN,507,NA
PNG,675,OC
PAR,595,SA
PER,51,SA
PHI,63,AS
PCN,870,OC
POL,48,EU
POR,351,EU
PUR,1,NA
QAT,974,AS
KOR,82,AS
MDA,373,EU
ROU,40,EU
RUS,7,EU
RWA,250,AF
REU,262,AF
,590,NA
SHN,290,AF
SKN,1-869,NA
LCA,1-758,NA
,590,NA
SPM,508,NA
VIN,1-784,NA
SAM,685,OC
SMR,378,EU
STP,239,AF
KSA,966,AS
SEN,221,AF
SRB,381,EU
SEY,248,AF
SLE,232,AF
SIN,65,AS
,1-721,NA
SVK,421,EU
SVN,386,EU
SOL,677,OC
SOM,252,AF
RSA,27,AF
,500,AN
,211,AF
ESP,34,EU
SRI,94,AS
PLE,970,AS
SUD,249,AF
SUR,597,SA
,47,EU
SWE,46,EU
SUI,41,EU
SYR,963,AS
TJK,992,AS
THA,66,AS
MKD,389,EU
TLS,670,OC
TOG,228,AF
TKL,690,OC
TGA,676,OC
TRI,1-868,NA
TUN,216,AF
TUR,90,AS
TKM,993,AS
TCA,1-649,NA
TUV,688,OC
UGA,256,AF
UKR,380,EU
UAE,971,AS
ENG,44,EU
NIR,45,EU
SCO,46,EU
WAL,47,EU
TAN,255,AF
VIR,1-340,NA
USA,1,NA
URU,598,SA
UZB,998,AS
VAN,678,OC
VEN,58,SA
VIE,84,AS
WLF,681,OC
SAH,212,AF
YEM,967,AS
ZAM,260,AF
ZIM,263,AF
ALD,358,EU
